# u, v, x, y, z
348,407,0.48662611842155457,0.28700000047683716,-0.6211963891983032
414,404,0.48854169249534607,0.2240000069141388,-0.6290278434753418
626,401,0.4933549463748932,0.04699999839067459,-0.6231258511543274
691,401,0.49486052989959717,-0.008999999612569809,-0.6287591457366943
758,399,0.49389928579330444,-0.06499999761581421,-0.6284835338592529
826,400,0.4888243079185486,-0.12600000202655792,-0.6207864284515381
297,590,0.31822240352630615,0.2849999964237213,-0.6207612156867981
373,591,0.3211061954498291,0.22699999809265137,-0.6215881109237671
617,587,0.32330435514450073,0.05400000140070915,-0.621178150177002
696,589,0.32398998737335205,-0.006000000052154064,-0.6224150657653809
1109,589,0.31822240352630615,-0.296999990940094,-0.6207612156867981
1088,524,0.38388463854789734,-0.3070000112056732,-0.6167029738426208
